sample_id,task_id,score,total_score,gold_line_item_count,predicted_line_item_count,line_item_count_delta,line_items_score,reconciliation_status,summary_reconciliation_status,line_item_reconciliation_status,selection_reasons
1022-receipt.jpg,easy,0.0,0.0,1,0,1,0.0,,,,"lowest_overall_scores,total_field_errors,task_balance_easy"
1100-receipt.jpg,easy,0.25,0.0,15,13,2,0.0,,,,"lowest_overall_scores,total_field_errors,line_item_count_spectrum,task_balance_easy"
1058-receipt.jpg,hard,0.316671,0.0,5,4,1,0.1881,fail,pass,fail,"lowest_overall_scores,total_field_errors,line_item_reconciliation_issues,task_balance_hard"
1039-receipt.jpg,hard,0.34975,0.0,4,4,0,0.24975,fail,pass,fail,"lowest_overall_scores,total_field_errors,line_item_reconciliation_issues,task_balance_hard"
1197-receipt.jpg,easy,0.367965,0.0,8,8,0,0.0,,,,"lowest_overall_scores,total_field_errors,task_balance_easy"
1182-receipt.jpg,hard,0.4085,1.0,2,1,1,0.171,fail,fail,pass,"lowest_overall_scores,summary_reconciliation_issues,task_balance_hard"
1156-receipt.jpg,easy,0.416667,1.0,5,5,0,0.0,,,,"lowest_overall_scores,task_balance_easy"
1111-receipt.jpg,hard,0.431071,0.0,8,9,1,0.281071,fail,pass,fail,"lowest_overall_scores,total_field_errors,line_item_reconciliation_issues,task_balance_hard"
1050-receipt.jpg,hard,0.438125,1.0,4,3,1,0.219375,fail,pass,fail,"lowest_overall_scores,line_item_reconciliation_issues,task_balance_hard"
1187-receipt.jpg,hard,0.441429,1.0,7,4,3,0.141429,fail,pass,fail,"lowest_overall_scores,line_item_count_mismatch,line_item_reconciliation_issues,task_balance_hard"
1080-receipt.jpg,easy,1.0,1.0,5,5,0,0.0,,,,"highest_overall_scores,diversity_fill"
1158-receipt.jpg.png,easy,1.0,1.0,1,1,0,0.0,,,,highest_overall_scores
1159-receipt.jpg,hard,1.0,1.0,1,1,0,0.45,pass,pass,pass,highest_overall_scores
1177-receipt.jpg,hard,1.0,1.0,4,4,0,0.45,pass,pass,pass,highest_overall_scores
1191-receipt.jpg,hard,1.0,1.0,4,4,0,0.45,pass,pass,pass,highest_overall_scores
1168-receipt.jpg,hard,0.9875,1.0,7,7,0,0.45,pass,pass,pass,highest_overall_scores
1071-receipt.jpg,hard,0.985,1.0,6,6,0,0.435,pass,pass,pass,highest_overall_scores
1078-receipt.jpg,hard,0.983333,1.0,1,1,0,0.45,pass,pass,pass,highest_overall_scores
1090-receipt.jpg,easy,0.964286,1.0,18,13,5,0.0,,,,"highest_overall_scores,line_item_count_spectrum,line_item_count_mismatch"
1016-receipt.jpg,hard,0.963221,1.0,4,4,0,0.413221,pass,pass,pass,highest_overall_scores
1076-receipt.jpg,medium,0.75,1.0,0,0,,0.0,fail,fail,not_evaluated,"middle_overall_scores,task_balance_medium"
1124-receipt.jpg,hard,0.75,1.0,11,11,0,0.45,fail,pass,fail,"middle_overall_scores,line_item_count_spectrum"
1183-receipt.jpg,hard,0.75,1.0,2,2,0,0.45,fail,fail,pass,middle_overall_scores
1195-receipt.jpg,hard,0.746,0.0,6,6,0,0.396,pass,pass,pass,middle_overall_scores
1174-receipt.jpg,hard,0.742857,1.0,1,1,0,0.45,fail,fail,pass,middle_overall_scores
1017-receipt.jpg,hard,0.775,1.0,4,2,2,0.225,pass,pass,pass,"middle_overall_scores,line_item_count_mismatch"
1046-receipt.jpg,hard,0.72,1.0,3,3,0,0.42,fail,fail,fail,middle_overall_scores
1140-receipt.jpg,hard,0.72,1.0,6,6,0,0.42,fail,pass,fail,middle_overall_scores
1091-receipt.jpg,easy,0.45,0.0,8,5,3,0.0,,,,"total_field_errors,line_item_count_mismatch,task_balance_easy"
1161-receipt.jpg,easy,0.45,0.0,16,6,10,0.0,,,,"total_field_errors,line_item_count_spectrum,line_item_count_mismatch,task_balance_easy"
1126-receipt.jpg,hard,0.46,0.0,3,3,0,0.36,fail,fail,pass,"total_field_errors,summary_reconciliation_issues,task_balance_hard"
1099-receipt.jpg,hard,0.484571,0.0,6,4,2,0.284571,fail,pass,fail,"total_field_errors,line_item_reconciliation_issues,task_balance_hard"
1049-receipt.jpg,hard,0.527143,0.0,7,6,1,0.347143,fail,pass,fail,"total_field_errors,line_item_reconciliation_issues,task_balance_hard"
1059-receipt.jpg,hard,0.578571,0.0,1,1,0,0.45,fail,fail,pass,"total_field_errors,summary_reconciliation_issues"
1119-receipt.jpg,hard,0.585,1.0,16,12,4,0.285,fail,pass,fail,"line_item_count_spectrum,line_item_count_mismatch"
1131-receipt.jpg,easy,0.958333,1.0,12,5,7,0.0,,,,"line_item_count_spectrum,line_item_count_mismatch"
1153-receipt.jpg,hard,0.932708,1.0,12,11,1,0.399375,pass,pass,pass,line_item_count_spectrum
1026-receipt.jpg,easy,0.958333,1.0,11,10,1,0.0,,,,"line_item_count_spectrum,diversity_fill"
1007-receipt.jpg,hard,0.8375,1.0,10,9,1,0.3375,pass,pass,pass,line_item_count_spectrum
1015-receipt.jpg,easy,0.780769,1.0,10,8,2,0.0,,,,"line_item_count_spectrum,line_item_count_mismatch"
1104-receipt.jpg,easy,0.8,1.0,8,3,5,0.0,,,,line_item_count_mismatch
1027-receipt.jpg,easy,0.664286,1.0,8,4,4,0.0,,,,line_item_count_mismatch
1103-receipt.jpg,hard,0.4692,1.0,5,2,3,0.1692,fail,fail,pass,"line_item_count_mismatch,summary_reconciliation_issues,task_balance_hard"
1118-receipt.jpg,easy,0.65,0.0,6,3,3,0.0,,,,"line_item_count_mismatch,task_balance_easy"
1023-receipt.jpg,easy,0.96,1.0,5,3,2,0.0,,,,"line_item_count_mismatch,diversity_fill"
1068-receipt.jpg,easy,0.8,1.0,6,4,2,0.0,,,,line_item_count_mismatch
1106-receipt.jpg,hard,0.457451,1.0,8,6,2,0.157451,fail,pass,fail,"line_item_reconciliation_issues,task_balance_hard"
1019-receipt.jpg,hard,0.5,1.0,9,9,0,0.35,fail,fail,fail,"line_item_reconciliation_issues,summary_reconciliation_issues,task_balance_hard"
1063-receipt.jpg,hard,0.522857,1.0,2,2,0,0.282857,fail,pass,fail,"line_item_reconciliation_issues,task_balance_hard"
1160-receipt.jpg,hard,0.542,1.0,4,5,1,0.342,fail,pass,fail,"line_item_reconciliation_issues,task_balance_hard"
